Reading additional input from stdin...
OpenAI Codex v0.133.0
--------
workdir: C:\Users\koosh\Dino\.claude\worktrees\swapguard
model: gpt-5.3-codex-spark
provider: openai
approval: never
sandbox: danger-full-access
reasoning effort: low
reasoning summaries: none
session id: 019e80d2-a918-7061-a740-8dc004cee17e
--------
user
P0 CRASH HARDENING (DINOForge). DINO crashed on skirmish load: AssetSwapSystem swapped a mesh whose Material used the built-in 'Standard' shader into a live entity; DINO's Hybrid Renderer V2 (HRV2/URP) only accepts SRP-Batcher-compatible URP shaders, so the renderer faulted -> native crash (no managed exception). A bad material must NEVER crash the game. Branch fix/swap-shader-guard-20260531. NO push/stash/--no-verify; git add only specific files. 

FIX in src/Runtime/Bridge/AssetSwapSystem.cs: before assigning a swapped Material to a live ECS entity (in the Material-resolve/apply path — find where ResolveReplacementAssets returns a Material and where it's set on RenderMesh), VALIDATE shader compatibility: check the material's shader is URP/SRP-Batcher compatible — e.g. material.shader.name starts with "Universal Render Pipeline/" OR FindPassTagValue/shader has SRP batcher support. If the shader is NOT URP-compatible (e.g. 'Standard', 'Legacy', 'Diffuse', built-in), SKIP that material swap (keep the mesh swap if mesh is fine, or skip both), LOG ONCE per bundle ('[AssetSwap] skipped material swap for X: shader Y not HRV2-compatible'), and continue — never assign it. Add a static HashSet to log-once. netstandard2.0. Build: dotnet build src/Runtime/DINOForge.Runtime.csproj -c Release -p:TargetFramework=netstandard2.0 — exit 0. DO NOT deploy. Commit. CHANGELOG. Report: the guard code (file+lines), build exit, plainly: can a non-URP material now crash the renderer? NO expected.
codex
I’ll apply the guard in the `ResolveReplacementAssets`/`RenderMesh` assignment path inside `AssetSwapSystem.cs`, add a netstandard2.0-compatible one-time-per-bundle skip log, update `CHANGELOG.md`, then run the exact release build command and commit only touched files.
exec
"C:\\Program Files\\PowerShell\\7\\pwsh.exe" -Command 'rg -n "ResolveReplacementAssets|RenderMesh|AssetSwapSystem|Apply|material|shader" src/Runtime/Bridge/AssetSwapSystem.cs' in C:\Users\koosh\Dino\.claude\worktrees\swapguard
 succeeded in 738ms:
28:    ///   4. The system also applies RenderMesh visual swaps for ECS entities matching
37:    ///   - Visual data is stored in RenderMesh shared components.
43:    ///   1. Build a test AssetBundle with a replacement mesh/material.
933:                        $"TrySwapRenderMeshFromBundle: hit MaxSwapsPerBundle cap ({MaxSwapsPerBundle}), stopping.");
992:                                    $"TrySwapRenderMeshFromBundle: skipping entity {entity.Index} — {skinReason}");
1000:                    if (replacementMat != null && materialField != null)
1002:                        object? currentMat = materialField.GetValue(renderMesh);
1005:                        materialField.SetValue(renderMesh, replacementMat);
1018:                    // Entity has multiple RenderMesh instances (shadow + main mesh).
1021:                        $"TrySwapRenderMeshFromBundle: entity {entity.Index} has multiple " +
1022:                        $"RenderMesh instances — skipping (ambiguous match)");
1027:                        $"TrySwapRenderMeshFromBundle: failed on entity {entity.Index}: {ex.Message}");
1032:                $"TrySwapRenderMeshFromBundle: swapped {swapCount}/{swapBudget} entities (total matching={entities.Length}, " +
1076:        // bail out gracefully on HRV2 (MaterialMeshInfo/RenderMeshUnmanaged) where the
1083:        /// HRV2 type names (RenderMeshUnmanaged, MaterialMeshInfo). When the resolved
1084:        /// RenderMesh type matches one of these, the legacy FieldInfo.SetValue("mesh"/"material")
1085:        /// swap path is NOT supported and must be skipped (see TrySwapRenderMeshFromBundle).
1089:            "Unity.Rendering.RenderMeshUnmanaged",
1094:        /// Resolves the Unity.Rendering RenderMesh shared-component type from loaded assemblies.
1095:        /// Tries HRV1 ("Unity.Rendering.RenderMesh") first, then falls back to HRV2 variants
1096:        /// ("RenderMeshUnmanaged", "MaterialMeshInfo") so newer DOTS installations are detected
1101:        private static Type? ResolveRenderMeshType()
1111:                "Unity.Rendering.RenderMesh",
1112:                "Unity.Rendering.RenderMeshUnmanaged",
1130:                                DebugLog.Write("AssetSwap", $"ResolveRenderMeshType: resolved '{typeName}' from assembly '{asm.GetName().Name}' v{asm.GetName().Version}");
1133:                                    DebugLog.Write("AssetSwap", $"ResolveRenderMeshType: HRV2 variant detected ('{typeName}') — HRV2 mesh-swap not yet implemented, falling back to no-op for entity swaps. Bundle-disk patching (Phase 1) remains functional.");
1142:                        System.Diagnostics.Debug.WriteLine($"RenderMesh type lookup for '{typeName}' in {asm.GetName().Name} failed: {ex.Message}");
1147:            DebugLog.Write("AssetSwap", "ResolveRenderMeshType: no HRV1 or HRV2 RenderMesh type found in any loaded assembly. Entity mesh-swap disabled.");
1151:        /// <summary>Returns true if the resolved type is an HRV2 variant (no mutable mesh/material fields).</summary>
1196:                DebugLog.Write("AssetSwap", "Unity.Rendering assembly: NOT FOUND in loaded or referenced assemblies. RenderMesh resolution will fail.");
1250:        ///   2. Load the first GameObject prefab and extract mesh+material from its renderer
1254:        /// Mesh and material are always sourced from the same renderer where possible to avoid
1255:        /// mesh/material mismatches.
1257:        private static (Mesh? mesh, Material? material) ResolveReplacementAssets(AssetBundle bundle, string requestedName)
1261:            Material? material = bundle.LoadAsset<Material>(requestedName);
1262:            if (mesh != null || material != null)
1264:                DebugLog.Write("AssetSwap", $"ResolveReplacementAssets: resolved bare asset by name '{requestedName}'");
1265:                return (mesh, material);
1279:                        material = smr.sharedMaterials[0];
1289:                        material = mr.sharedMaterials[0];
1292:                if (mesh != null || material != null)
1295:                        $"ResolveReplacementAssets: extracted mesh='{mesh?.name ?? "<null>"}' " +
1296:                        $"material='{material?.name ?? "<null>"}' from prefab '{prefab.name}'");
1297:                    return (mesh, material);
1305:            Material[] materials = bundle.LoadAllAssets<Material>();
1306:            if (materials.Length > 0) material = materials[0];
1308:            if (mesh != null || material != null)
1311:                    $"ResolveReplacementAssets: fell back to first bare mesh='{mesh?.name ?? "<null>"}' " +
1312:                    $"material='{material?.name ?? "<null>"}' in bundle");
1315:            return (mesh, material);
1408:            // AssetSwapSystem rehydrate the cache.
1415:            // Iter-144 #543: AssetSwapSystem.OnDestroy is ONLY invoked when DINO is tearing down
1418:            // resolved while the new RuntimeDriver + AssetSwapSystem reconstruct the cache. The
1426:            DebugLog.Write("AssetSwap", $"[AssetSwapSystem] OnDestroy SKIPPED bundle unload — bundles preserved across scene transition (NeedsResurrection={Plugin.NeedsResurrection} s_skipBundleUnload={Plugin.s_skipBundleUnload}). Companion flags set for downstream observers.");
1434:                DebugLog.Write("AssetSwap", $"AssetSwapSystem.OnDestroy - base.OnDestroy threw {ex.GetType().Name}: {ex.Message}");

ERROR: Reconnecting... 2/5
exec
"C:\\Program Files\\PowerShell\\7\\pwsh.exe" -Command '$path='"'src/Runtime/Bridge/AssetSwapSystem.cs'; "'$lines = Get-Content $path; $ranges = @(560..1060) + @(1240..1335); $ranges | ForEach-Object { if ($_ -le $lines.Length) { '"'{0,5}: {1}' -f "'$_, $lines[$_-1] } }' in C:\Users\koosh\Dino\.claude\worktrees\swapguard
 succeeded in 1117ms:
  560:         /// Attempts to load a Mesh or Material from the mod bundle and apply it to ECS entities
  561:         /// carrying a RenderMesh shared component.
  562:         /// When <paramref name="vanillaMapping"/> is provided the entity query is narrowed to only
  563:         /// entities that also carry the corresponding unit-archetype component (e.g.
  564:         /// <c>Components.MeleeUnit</c>), preventing the replacement from touching unrelated geometry.
  565:         /// </summary>
  566:         private bool TrySwapRenderMeshFromBundle(
  567:             string modBundlePath, string assetName, string? vanillaMapping, EntityManager em)
  568:         {
  569:             AssetBundle? bundle = LoadBundle(modBundlePath);
  570:             if (bundle == null)
  571:             {
  572:                 // #992: bundle failed to load and could not be recovered from the already-loaded
  573:                 // set — a hard load error that will recur every frame. Mark permanently failed so
  574:                 // we stop re-attempting LoadFromFile (the flood source). Log once.
  575:                 if (_permanentlyFailedBundles.Add(modBundlePath))
  576:                 {
  577:                     DebugLog.Write("AssetSwap",
  578:                         $"TrySwapRenderMeshFromBundle: bundle '{Path.GetFileName(modBundlePath)}' " +
  579:                         "failed to load and could not be recovered — marking permanently failed (#992).");
  580:                 }
  581:                 return false;
  582:             }
  583: 
  584:             // #101 fix (Bug B): the mesh/material/prefab inside the bundle is named after the
  585:             // source FBX/prefab (e.g. "sw-cis-commando-droid"), NOT after the bundle key / asset
  586:             // address (e.g. "sw-bx-commando-droid"). Looking up by request.AssetName therefore
  587:             // returns null for most bundles. Resolve the replacement robustly by loading ALL assets
  588:             // of each type and taking the first viable one, instead of trusting the key string.
  589:             (Mesh? replacementMesh, Material? replacementMat) = ResolveReplacementAssets(bundle, assetName);
  590: 
  591:             if (replacementMesh == null && replacementMat == null)
  592:             {
  593:                 // #992: a bundle with no usable Mesh/Material (the 13 #986 90-byte stubs) can NEVER
  594:                 // yield a swap. Mark it permanently failed so ApplySwap skips it on every later
  595:                 // frame instead of re-loading it — this is the primary stop for the per-frame
  596:                 // 'already loaded' flood. Log once.
  597:                 _permanentlyFailedBundles.Add(modBundlePath);
  598:                 DebugLog.Write("AssetSwap",
  599:                     $"TrySwapRenderMeshFromBundle: no usable Mesh/Material/prefab found in bundle " +
  600:                     $"'{Path.GetFileName(modBundlePath)}' (requested asset='{assetName}'). " +
  601:                     "Bundle may be a stub or contain no renderable geometry. " +
  602:                     "Marking permanently failed — will skip on subsequent frames (#992).");
  603:                 return false;
  604:             }
  605: 
  606:             // GFX-mode Phase 2: when the High graphics tier is active, upgrade the swapped
  607:             // material to URP/Lit with PBR slots (driven by pack PBR metadata when present).
  608:             // Pure passthrough when tier is Vanilla or no upgrade is possible — never breaks the swap.
  609:             if (replacementMat != null)
  610:             {
  611:                 replacementMat = DINOForge.Runtime.Graphics.GraphicsMaterialUpgrader.Upgrade(replacementMat, assetName);
  612:             }
  613: 
  614:             Type? renderMeshType = ResolveRenderMeshType();
  615:             if (renderMeshType == null)
  616:             {
  617:                 DebugLog.Write("AssetSwap", "TrySwapRenderMeshFromBundle: Unity.Rendering.RenderMesh type not found");
  618:                 return false;
  619:             }
  620: 
  621:             // #608 P2: HRV2 (RenderMeshUnmanaged / MaterialMeshInfo) uses blittable structs
  622:             // with readonly mesh/material data — the legacy FieldInfo.SetValue path doesn't
  623:             // apply. Bail out gracefully until HRV2 mesh-swap is implemented (separate task).
  624:             if (IsHrv2Type(_renderMeshVariantName))
  625:             {
  626:                 DebugLog.Write("AssetSwap", $"TrySwapRenderMeshFromBundle: HRV2 mesh-swap not yet implemented (variant='{_renderMeshVariantName}') — falling back to no-op for entity swap. Bundle-disk patch (if successful) still applies.");
  627:                 return false;
  628:             }
  629: 
  630:             // Resolve vanilla_mapping → ECS component type for targeted entity filtering.
  631:             // When the mapping is absent or unrecognised we fall back to RenderMesh-only query,
  632:             // which at minimum avoids modifying non-unit geometry in cases like buildings.
  633:             ComponentType[] queryComponents;
  634:             // #986: When the archetype carries RenderMesh on a CHILD entity (DINO buildings:
  635:             // Components.BuildingBase has LinkedEntityGroup + Unity.Transforms.Child but NO
  636:             // RenderMesh on the parent), the RenderMesh+archetype query returns 0. We capture
  637:             // the resolved archetype type so we can re-query archetype-only and walk children.
  638:             Type? resolvedArchetypeType = null;
  639:             if (!string.IsNullOrWhiteSpace(vanillaMapping)
  640:                 && TryResolveSwapArchetype(vanillaMapping, out string? archetypeTypeName)
  641:                 && !string.IsNullOrEmpty(archetypeTypeName))
  642:             {
  643:                 Type? archetypeType = ResolveTypeByName(archetypeTypeName!);
  644:                 if (archetypeType != null)
  645:                 {
  646:                     resolvedArchetypeType = archetypeType;
  647:                     queryComponents = new[]
  648:                     {
  649:                         ComponentType.ReadOnly(renderMeshType),
  650:                         ComponentType.ReadOnly(archetypeType),
  651:                     };
  652:                     DebugLog.Write("AssetSwap",
  653:                         $"TrySwapRenderMeshFromBundle: filtering by '{archetypeTypeName}' " +
  654:                         $"for vanilla_mapping='{vanillaMapping}'");
  655:                 }
  656:                 else
  657:                 {
  658:                     DebugLog.Write("AssetSwap",
  659:                         $"TrySwapRenderMeshFromBundle: archetype type '{archetypeTypeName}' not " +
  660:                         $"found in assemblies; falling back to RenderMesh-only query");
  661:                     queryComponents = new[] { ComponentType.ReadOnly(renderMeshType) };
  662:                 }
  663:             }
  664:             else
  665:             {
  666:                 queryComponents = new[] { ComponentType.ReadOnly(renderMeshType) };
  667:             }
  668: 
  669:             EntityQuery query = em.CreateEntityQuery(
  670:                 new EntityQueryDesc { All = queryComponents, Options = EntityQueryOptions.IncludePrefab });
  671:             NativeArray<Entity> entities = query.ToEntityArray(Allocator.Temp);
  672: 
  673:             // #986: child-entity RenderMesh fallback. DINO buildings carry the archetype marker
  674:             // (Components.BuildingBase) on a PARENT entity whose RenderMesh lives on a CHILD
  675:             // entity referenced via LinkedEntityGroup. The RenderMesh+archetype query above
  676:             // therefore returns 0. When that happens (and we resolved a parent archetype), query
  677:             // archetype-only and collect the RenderMesh-bearing children. This is what makes
  678:             // buildings (and any other parent-rendered DINO entity) swap instead of "0 succeeded".
  679:             if (entities.Length == 0 && resolvedArchetypeType != null)
  680:             {
  681:                 NativeArray<Entity> childMatches = CollectRenderMeshChildren(
  682:                     em, resolvedArchetypeType, renderMeshType, assetName, vanillaMapping);
  683:                 if (childMatches.IsCreated && childMatches.Length > 0)
  684:                 {
  685:                     entities.Dispose();
  686:                     query.Dispose();
  687:                     entities = childMatches;
  688:                     // No EntityQuery to dispose for the child path; use a no-op query handle.
  689:                     query = em.CreateEntityQuery(ComponentType.ReadOnly(renderMeshType));
  690:                     DebugLog.Write("AssetSwap",
  691:                         $"TrySwapRenderMeshFromBundle: parent archetype '{resolvedArchetypeType.FullName}' " +
  692:                         $"carries no RenderMesh; resolved {entities.Length} RenderMesh child entities " +
  693:                         $"via LinkedEntityGroup for asset='{assetName}'.");
  694:                 }
  695:                 else
  696:                 {
  697:                     if (childMatches.IsCreated) childMatches.Dispose();
  698:                 }
  699:             }
  700: 
  701:             // Iter-148 timing fix: ToEntityArray() may return 0 entities when the swap
  702:             // fires before gameplay-scene entity population completes (observed ~9s gap
  703:             // between AssetSwapSystem first OnUpdate at frame 600 and entities arriving
  704:             // around frame 1000+). Returning false (not true) causes AssetSwapRegistry
  705:             // to MarkFailed, which keeps the request in the pending queue for the next
  706:             // OnUpdate retry. MaxRetries=200 gives a wide retry window past warmup.
  707:             if (entities.Length == 0)
  708:             {
  709:                 if (_reportedFailures.Add($"empty-query:{assetName}"))
  710:                 {
  711:                     DebugLog.Write("AssetSwap",
  712:                         $"TrySwapRenderMeshFromBundle: entity query returned 0 results for asset='{assetName}' " +
  713:                         $"(vanillaMapping='{vanillaMapping ?? "<null>"}') — entities not yet populated, will retry next frame.");
  714:                 }
  715:                 entities.Dispose();
  716:                 query.Dispose();
  717:                 return false;
  718:             }
  719: 
  720:             // Use the non-generic GetSharedComponentData(Entity, ComponentType) overload.
  721:             // The generic GetSharedComponentData<T>(Entity) throws "Ambiguous match found"
  722:             // for entities that have multiple instances of T (e.g. a unit with shadow+main mesh).
  723:             // Iter-144 fix: GetMethod(name, types[]) returns null at runtime against DINO's
  724:             // Unity 2021.3 EntityManager (overload-resolution mismatch). Mirror the arity-filter
  725:             // pattern used below for SetSharedComponentData: enumerate methods, filter on name,
  726:             // non-generic, arity=2, first param Entity, second param ComponentType.
  727:             // Mono 4.x type-identity bug: typeof(Entity) != param.ParameterType across assembly
  728:             // boundaries. Use FullName string comparison instead of reference equality.
  729:             MethodInfo? getSharedNonGeneric = typeof(EntityManager).GetMethods(
  730:                     BindingFlags.Public | BindingFlags.NonPublic | BindingFlags.Instance)
  731:                 .FirstOrDefault(m =>
  732:                     m.Name == "GetSharedComponentData"
  733:                     && !m.IsGenericMethodDefinition
  734:                     && m.GetParameters().Length == 2
  735:                     && m.GetParameters()[0].ParameterType.FullName == "Unity.Entities.Entity"
  736:                     && (m.GetParameters()[1].ParameterType.FullName == "Unity.Entities.ComponentType"
  737:                         || m.GetParameters()[1].ParameterType.FullName == "System.Int32"));
  738:             // #101: SetSharedComponentData<T> has multiple overloads (Entity, EntityQuery,
  739:             // NativeArray<Entity>), so plain GetMethod("SetSharedComponentData") throws
  740:             // AmbiguousMatchException. GetMethod(name, types[]) also can't disambiguate
  741:             // open generics (parameter type is T, not a concrete Type). Filter by arity +
  742:             // first-parameter Entity to pin the (Entity, T) overload.
  743:             MethodInfo? setSharedGeneric = typeof(EntityManager).GetMethods(
  744:                     BindingFlags.Public | BindingFlags.NonPublic | BindingFlags.Instance)
  745:                 .FirstOrDefault(m =>
  746:                     m.Name == "SetSharedComponentData"
  747:                     && m.IsGenericMethodDefinition
  748:                     && m.GetParameters().Length == 2
  749:                     && m.GetParameters()[0].ParameterType.FullName == "Unity.Entities.Entity");
  750: 
  751:             if (getSharedNonGeneric == null || setSharedGeneric == null)
  752:             {
  753:                 // Iter-146 #881: throttle ungated log — was firing every retry (Pattern #232).
  754:                 // Emit a single LogWarning every Nth failure to preserve actionable signal.
  755:                 _reflectionFailCount++;
  756:                 if (_reflectionFailCount == 1 || (_reflectionFailCount % ReflectionFailLogEvery) == 0)
  757:                 {
  758:                     DebugLog.Write("AssetSwap",
  759:                         $"WARN: TrySwapRenderMeshFromBundle: reflection lookup failed (#{_reflectionFailCount}) " +
  760:                         $"(getSharedNonGeneric={getSharedNonGeneric != null}, setSharedGeneric={setSharedGeneric != null}).");
  761:                 }
  762:                 if (!_dumpedEmMethods)
  763:                 {
  764:                     _dumpedEmMethods = true;
  765:                     DebugLog.Write("AssetSwap",
  766:                         "[AssetSwap] EntityManager methods dump (one-shot until ScheduleReset). Triggered by reflection-lookup failure...");
  767:                     var allMethods = typeof(EntityManager).GetMethods(
  768:                         BindingFlags.Public | BindingFlags.NonPublic | BindingFlags.Instance | BindingFlags.Static);
  769:                     foreach (var m in allMethods)
  770:                     {
  771:                         if (m.Name == "GetSharedComponentData" || m.Name == "SetSharedComponentData")
  772:                         {
  773:                             var ps = string.Join(", ", m.GetParameters().Select(p => $"{p.ParameterType.Name} {p.Name}"));
  774:                             DebugLog.Write("AssetSwap", $"  EM.{m.Name}(<{ps}>) generic={m.IsGenericMethodDefinition} retType={m.ReturnType.Name}");
  775:                         }
  776:                     }
  777:                 }
  778:                 entities.Dispose();
  779:                 query.Dispose();
  780:                 return false;
  781:             }
  782: 
  783:             MethodInfo genericSet = setSharedGeneric.MakeGenericMethod(renderMeshType);
  784:             FieldInfo? meshField = renderMeshType.GetField("mesh");
  785:             FieldInfo? materialField = renderMeshType.GetField("material");
  786: 
  787:             ComponentType renderMeshComponentType = ComponentType.ReadOnly(renderMeshType);
  788: 
  789:             // BUG A fix (#101): DINO's Unity 2021.3 EntityManager exposes the non-generic
  790:             // GetSharedComponentData in TWO overloads — (Entity, ComponentType) AND
  791:             // (Entity, int typeIndex). The FirstOrDefault lookup above can bind the Int32
  792:             // overload (it explicitly accepts either FullName). Invoking that overload with a
  793:             // boxed ComponentType throws at runtime: "Object of type 'Unity.Entities.ComponentType'
  794:             // cannot be converted to type 'System.Int32'" → result=False ("swapped 0/100" for
  795:             // ground units like sw-cis-magna-guard). Detect which overload was bound and pass the
  796:             // matching argument type: ComponentType.TypeIndex (an int) when the param wants Int32.
  797:             bool getSharedWantsTypeIndex =
  798:                 getSharedNonGeneric.GetParameters()[1].ParameterType.FullName == "System.Int32";
  799:             object renderMeshSharedArg = getSharedWantsTypeIndex
  800:                 ? (object)renderMeshComponentType.TypeIndex
